,0,1
0,N_1_to_last2_ALL_Users_percent/User count,0.2266754921604995
1,U_1_to_last2_ALL_Users_percent/User count,0.014237848164932747
2,S_1_to_last2_ALL_Users_percent/User count,0.013587552565217277
3,User_count(for count in passwords.index),30664055.0
4,N_1_to_last2_ALL,60293920.0
5,U_1_to_last2_ALL,3979206.0
6,S_1_to_last2_ALL,6705138.0
7,length_ALL(= length_ALL + len(password)),262672569.0
8,N_1_to_last2_ALL/length_ALL,0.22954022275542602
9,U_1_to_last2_ALL/length_ALL,0.015148921012760946
10,S_1_to_last2_ALL/length_ALL,0.02552660152343505
